weightString,weight,title,content,remarks,remarks
六兩,6,官職榮華福壽財祿之命,"一朝金榜快題名，
顯祖榮官大器成；
衣食自然豐裕足，
田園財帛更豐盈。",,
六兩一,6.1,官掌風雷權柄之命,"不作朝中金榜客，
官為世上一財翁；
聰明天賦經書熟，
名顯高科自是榮。",,
六兩二,6.2,官職有權柄之命命,"此命生來福不窮，
讀書必定顯親族；
紫衣金帶為卿相，
富貴榮華皆可同。",,
六兩三,6.3,指揮太守萬戶封侯之命,"命主為官福祿長，
得來富貴定非常；
名題雁塔傳金榜，
顯耀門庭天下揚。",,
六兩四,6.4,官職尚書侍郎之命,"此命威權不可當，
紫袍金帶坐高堂；
榮華富貴誰能及，
百世留名姓氏揚。",,
六兩五,6.5,威權無盡財福祿全之命,"細推此命福不輕，
富貴榮華孰與爭；
定國安邦榮品人，
威聲顯赫四方聞。",,
六兩六,6.6,公侯駙馬丞相之命,"此格人間一福人，
堆金積玉滿堂春；
從來富貴由天定，
金榜題名謁聖君。",,
六兩七,6.7,英名冠世萬國來朝上格之命,"此命生來福自宏，
田園家業最高隆；
平生衣祿豐盈足，
一代榮華萬事通。",,
六兩八,6.8,溫和幸福富貴極吉之命,"福貴由天莫苦求，
萬金家計不須謀；
十年不比前番事，
祖業根基水上舟。",,
六兩九,6.9,受職高位功名顯達之命,"君是人間衣祿星，
一生富貴眾人欽；
縱然福祿由天定，
安享榮華過一生。",,
七兩,7,權力共備志望上流之命,"此命推來福非輕，
不須愁慮苦勞心；
一生天定衣祿興，
富貴榮華主一生。",,
七兩一,7.1,大志大業勢如破竹之命,"此命生成大不同，
公侯卿相在其中；
一生自有逍遙福，
富貴榮華極品隆。",,
